ROW,COL,2000,2050,2100
13,18,10.11,38.16,87.42
13,19,10.1,38.14,87.38
13,24,10.38,39.19,89.8
13,25,10.75,40.58,92.96
14,2,10.75,40.59,92.99
14,3,19.6,74.01,169.55
14,4,14.91,56.28,128.94
14,5,11.71,44.2,101.27
14,6,10.03,37.87,86.77
14,7,10.84,40.94,93.8
14,8,9.82,37.06,84.9
14,9,9.46,35.7,81.79
14,10,12.95,48.9,112.03
14,11,14.67,55.39,126.91
14,12,11.04,41.66,95.45
14,13,11.32,42.74,97.92
14,14,10.97,41.4,94.85
14,15,11.82,44.62,102.22
14,16,9.24,34.87,79.9
14,17,7.22,27.26,62.45
14,24,10.18,38.42,88.02
14,25,10.69,40.35,92.43
15,14,9.5,35.87,82.17
