,2000,2050,2100
"(12, 18)",488083,722362,844383
"(12, 19)",85676,126800,148219
"(12, 21)",1613,2388,2791
"(12, 22)",215672,319195,373113
"(12, 23)",459692,680344,795267
"(12, 24)",634129,938510,1097042
"(12, 25)",86720,128346,150026
"(13, 2)",63806,94433,110384
"(13, 3)",1692547,2504970,2928107
"(13, 4)",364983,540175,631421
"(13, 5)",149207,220826,258127
"(13, 6)",98438,145688,170298
"(13, 7)",94685,140133,163805
"(13, 8)",70930,104976,122709
"(13, 9)",93005,137647,160898
"(13, 10)",20121,29780,34810
"(13, 11)",36641,54228,63388
"(13, 12)",84873,125612,146830
"(13, 13)",179529,265703,310585
"(13, 14)",305934,452782,529265
"(13, 15)",296310,438538,512616
"(13, 16)",110044,162864,190375
"(13, 17)",147260,217945,254760
"(13, 18)",61501,91021,106396
"(13, 19)",587,869,1016
"(13, 24)",3880,5743,6713
"(13, 25)",56518,83646,97776
"(14, 2)",7008,10372,12124
"(14, 3)",1862275,2756168,3221736
"(14, 4)",91892,136000,158974
"(14, 5)",409577,606174,708569
"(14, 6)",94457,139797,163411
"(14, 7)",53500,79181,92556
"(14, 8)",34551,51135,59772
"(14, 9)",9961,14742,17232
"(14, 10)",20369,30147,35239
"(14, 11)",50973,75440,88183
"(14, 12)",58423,86466,101072
"(14, 13)",93166,137885,161177
"(14, 14)",64412,95330,111434
"(14, 15)",63961,94663,110653
"(14, 16)",4186,6195,7242
"(14, 17)",652,965,1128
"(15, 14)",98,145,170
